,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANSS,ANTM,AON,AOS,APA,AIV
AXP,0.8527316154809738,0.8525227102523348,0.5966489458067576,0.6307309355905651,0.8303446767508995,0.72552109677163,0.7761677738113923,-0.16179853463695537,0.7662606381245193,-0.05841495188609929,0.8315298347165737,0.9111038403357395,0.8120985184659709,0.7627287378054344,0.8341091128952958,0.44308611996745545,0.7790100862139459,0.7841802351140826,0.6863046942267159,0.8182700188598311,0.7243527971908666,0.13251159508384844,0.7659343665909149,0.8851997575915633,0.848354945458851,0.8013643922698176,0.7859746673903932,0.3006221975622915,0.7902681153760457,0.7413904541713213,0.4256771442366182,0.10394114538788593,0.7898661219890509,1.0,-0.43092917887337734,0.851672360380704,0.7822796602631775,0.9267823742709876,0.8274842724874587,0.8744838998201203,0.8371055734218602,0.8438636167539636,0.6221004227882054,0.6902865371829418,0.8235804822423073,0.8429859201108674,0.826578261014361,0.7972362485221938,0.098013287787476,0.272961177350836
AIG,-0.5852270764093015,-0.6267480479420345,0.5718233630187671,-0.35193783609630136,-0.6603268244522214,-0.5768728079692638,-0.4567101862036731,0.708538489344264,-0.6619472922958572,0.5009725727352122,-0.5690363626416677,-0.6338324229998636,-0.5951354029468948,-0.3733130880883222,-0.6911453827338087,-0.1954414800296557,-0.5766505694096398,-0.7230428111463498,-0.3982346415392969,-0.7094595639128815,-0.42590875266613426,0.5829493040699906,-0.5651157367861344,-0.6667521779375356,-0.5973145491580346,-0.1876278454543356,-0.4920342348635354,0.3806696993646209,-0.6850330650281191,-0.5517309234895602,0.3576611428063205,0.6125882001541115,-0.38920675960818557,-0.43092917887337734,1.0,-0.6911273018691202,-0.082235578130266,-0.31780339738651625,-0.6832589760030591,-0.7491716156104705,-0.5110035623990413,-0.6898220621166121,-0.7233538836154203,-0.13721189211252607,-0.7616606634680807,-0.4516844681355617,-0.6194080851279561,-0.577148146529894,-0.536328216527916,0.5819030973401327
AMT,0.9183517065445047,0.9306872499911756,0.8854344119747877,0.7638541745043271,0.9771462338393466,0.8976156318108222,0.8738038477393769,-0.3206606070434234,0.8719812348760989,-0.11374661468982869,0.9217422420697075,0.8582593177260505,0.8544395316016283,0.8504200480954538,0.9314234812092168,0.48948769651066387,0.8957440548194204,0.9228303029916757,0.6979627765758759,0.8767251450978821,0.820992483020563,0.9314895927695613,0.833565095014116,0.9093504845426473,0.9665219054742309,0.7120632323173715,0.9670799168152341,0.9159001998078825,0.9438673642526988,0.8942955209735712,0.23761309504589143,-0.0408521816419566,0.8683023674857842,0.851672360380704,-0.6911273018691202,1.0,0.9731833552124243,0.9262311488683842,0.9060715362460026,0.9561914362807502,0.9018151601602543,0.9702102375144116,0.6004627019141647,0.7135247180700702,0.9553499867417787,0.9062355664087726,0.9576532952054583,0.9279968303936141,0.14119404563815172,0.05892247579021301
AWK,0.966909417026864,0.9005301146558037,0.7841216274283964,0.8218114844761074,0.9771841576747621,0.9103294297663149,0.8935210017580147,0.39527901817915734,0.7786530444928319,-0.054619660622564105,0.9610535220596373,0.7160928962718586,0.8441464176275674,0.9270633394413114,0.9354186187963062,0.743057902492551,0.9208023616266481,0.8606741001176291,0.8169782504933912,0.7203019528949458,0.8358141040990419,0.9212959137056254,0.7802713732746059,0.7850457110648217,0.9884684609342138,0.9394059315991885,0.9679847246173378,0.8908564751887547,0.9731103862574776,0.9150121924202249,0.9279304094656842,0.7396694008161654,0.9762737329598281,0.7822796602631775,-0.082235578130266,0.9731833552124243,1.0,0.88197561075507,0.8556774785492406,0.9075163659181402,0.9415532688383924,0.9668393359018963,-0.06650040480600822,0.9470148136536553,0.9180562432939792,0.9282682467883511,0.969778800820212,0.9764575596551476,-0.7760529952084056,0.8618204468305686
AMP,0.9534684012138217,0.9429615051254002,0.8458705606261728,0.7281838080976906,0.9092386625464335,0.8161354765821799,0.8414487336278023,-0.15722083375744944,0.8089748597650805,-0.16656273095899324,0.914247554204028,0.9190654234619334,0.8481421969037223,0.9323658897359154,0.9422600754792831,0.8469249386807189,0.8825802569235922,0.8183424795318183,0.6141946569986011,0.8318161060550914,0.798741771030295,0.5536590960290896,0.8472604010144528,0.9131545580939174,0.9171370233856102,0.846927301437751,0.9113531947306646,0.5303502869526343,0.8823352580736552,0.8250618264034034,0.5308099176529864,0.3122395166441524,0.9028356087227888,0.9267823742709876,-0.31780339738651625,0.9262311488683842,0.88197561075507,1.0,0.9176126042320788,0.9457417520796535,0.9240341299700164,0.9394667262375834,0.3368429157710684,0.9282651709042675,0.8923706308653332,0.9149502729185911,0.9344579761242093,0.9022079399833057,-0.5521403013555263,0.4466912472979786
ABC,0.9193167026046407,0.9326826532385276,0.552066301618765,0.6681411801530569,0.9229294702524043,0.8168705814485387,0.7835634044516726,-0.4558420888020302,0.9522533112124254,-0.2851298605919931,0.8973766530239402,0.9045054455514667,0.8026844742831583,0.6912485829416819,0.9329657986930403,0.3535006286420906,0.9471561281730942,0.8145968274066938,0.6390611523820694,0.9443873754611671,0.7072852774120744,0.25259756601814104,0.9512736650075553,0.9664212807792757,0.9100643352384516,0.7108879076806818,0.8836342380967809,-0.053968586040936094,0.9453126145713296,0.8152721472478577,0.227801932469934,-0.08694200691176933,0.8331502531834314,0.8274842724874587,-0.6832589760030591,0.9060715362460026,0.8556774785492406,0.9176126042320788,1.0,0.9447021896988244,0.931739947020028,0.9309940960595328,0.6087452683959799,0.6070695877062044,0.9019138902319974,0.872021534244613,0.9244676490008081,0.8993876809980031,0.07905164362074577,0.07179105946425035
AME,0.9361053789321494,0.9571209883622057,0.9265213590202462,0.7264278276667132,0.9680385590136881,0.8801225860134753,0.8483587053837682,-0.46270116967715375,0.882991857013795,-0.303907186907302,0.9258809479233974,0.9243650181580754,0.8850959934845787,0.7423710748781063,0.957382347962377,0.3552106735867623,0.8877929545466694,0.9200866961975395,0.7037880917414476,0.9124708005513611,0.8102609450750081,0.7195755635280396,0.8464983883967423,0.9458766774186356,0.9335821351814411,0.7241292488855738,0.9393430966719534,0.7891984910432636,0.9408794871972466,0.8757027987697797,0.22050882384055454,-0.18171334578087114,0.8263587947317783,0.8744838998201203,-0.7491716156104705,0.9561914362807502,0.9075163659181402,0.9457417520796535,0.9447021896988244,1.0,0.8907073642972795,0.9723609741082406,0.684935417269001,0.610863939913356,0.9809966769515044,0.8933460912219666,0.9450932006315771,0.91733786671014,0.20936057623640836,-0.015188677250484242
AMGN,0.9351779102163107,0.9250038745377553,0.820561068076459,0.775615985841879,0.9257748199044539,0.8630847710991029,0.8641806342750775,-0.24095530671275103,0.8886725638236294,-0.15094443805095464,0.9182616349756736,0.8178106373112979,0.7687834463688662,0.7755966360746949,0.87943589681599,0.4014037854481436,0.9538500351376267,0.7735479266365526,0.6223001891547195,0.8713511269193824,0.7962306475401064,0.8252940074339459,0.9220484440835369,0.9046028531524477,0.9194787856652069,0.8120424661154622,0.9210481585758196,0.6907867172667497,0.9205031269692742,0.8718376333073292,0.42153824113854116,0.08561484130718769,0.8755520944541647,0.8371055734218602,-0.5110035623990413,0.9018151601602543,0.9415532688383924,0.9240341299700164,0.931739947020028,0.8907073642972795,1.0,0.9224139407416494,0.40819641230372083,0.7611248623245209,0.8592607576504372,0.9104435318520352,0.9411757188696961,0.9430515330353159,-0.15694020852819424,0.23448243469875493
APH,0.9714424106292656,0.9618174235637575,0.9260804195514509,0.8150055902363185,0.9882632169811307,0.9477297454343379,0.9204301113575424,-0.3745895714578855,0.8592993916554899,-0.25828215277714706,0.9674702908734113,0.8644663293757788,0.8983166013464761,0.7953107802533044,0.9718438966721317,0.37739095054062527,0.9226813418109976,0.9345760819864877,0.7425195333709292,0.8565999062212475,0.8757553427197255,0.9262382807332195,0.8378828874145188,0.8966698148008253,0.965561158578041,0.7832155711027151,0.9828683959472061,0.9297297472144969,0.9649026469911961,0.9367548861007224,0.31362154664816344,-0.08430870626411094,0.8742933551727362,0.8438636167539636,-0.6898220621166121,0.9702102375144116,0.9668393359018963,0.9394667262375834,0.9309940960595328,0.9723609741082406,0.9224139407416494,1.0,0.5653928060219915,0.6931711698678154,0.9752566954326819,0.9407326873413857,0.982508911454361,0.9719441434098394,0.1141902068012133,0.07039955257343322
APC,0.46997361651070746,0.5565820486846829,-0.4611516759203418,0.1570245449777608,0.5020139937393958,0.3566615849418738,0.31805248295101557,-0.49255610269309436,0.5890581399986294,-0.20388104691071765,0.4578336439940491,0.7723937429893407,0.6147239905051285,0.3385618030672287,0.6357916822484867,0.20677950492092448,0.4265908089962385,0.6166525315744483,0.4553247599714228,0.6855055711830326,0.23842785109470155,-0.6850164353860659,0.4949411990226751,0.6674437640668975,0.5292270549645987,0.24986960739424013,0.24183265595142261,-0.6223592014188656,0.5394821971427595,0.3389840721696502,-0.2128185460123303,-0.36653669429966684,0.3938836273416203,0.6221004227882054,-0.7233538836154203,0.6004627019141647,-0.06650040480600822,0.3368429157710684,0.6087452683959799,0.684935417269001,0.40819641230372083,0.5653928060219915,1.0,0.1155125865285847,0.6407083049510047,0.3706915024129421,0.5000821961559585,0.3918183517164459,0.718477238946782,-0.30595288876906157
