Date,Open,High,Low,Close,Adjusted_close,Volume
2017-06-15,143.3200,144.4800,142.2100,144.2900,144.2900,32165373.00
2017-06-14,147.5000,147.5000,143.8400,145.1600,145.1600,31531232.00
2017-06-13,147.1600,147.4500,145.1500,146.5900,146.5900,34165445.00
2017-06-12,145.7400,146.0900,142.5100,145.4200,145.4200,72307330.00
2017-06-09,155.1900,155.1900,146.0200,148.9800,148.9800,64882657.00
2017-06-08,155.2500,155.5400,154.4000,154.9900,154.9900,21250798.00
2017-06-07,155.0200,155.9800,154.4800,155.3700,155.3700,21069647.00
2017-06-06,153.9000,155.8100,153.7800,154.4500,154.4500,26624926.00
2017-06-05,154.3400,154.4500,153.4600,153.9300,153.9300,25331662.00
2017-06-02,153.5800,155.4500,152.8900,155.4500,155.4500,27770715.00
2017-06-01,153.1700,153.3300,152.2200,153.1800,153.1800,16404088.00
2017-05-31,153.9700,154.1700,152.3800,152.7600,152.7600,24451164.00
2017-05-30,153.4200,154.4300,153.3300,153.6700,153.6700,20126851.00
2017-05-26,154.0000,154.2400,153.3100,153.6100,153.6100,21927637.00
2017-05-25,153.7300,154.3500,153.0300,153.8700,153.8700,19235598.00
2017-05-24,153.8400,154.1700,152.6700,153.3400,153.3400,19219154.00
2017-05-23,154.9000,154.9000,153.3100,153.8000,153.8000,19918871.00
2017-05-22,154.0000,154.5800,152.9100,153.9900,153.9900,22966437.00
2017-05-19,153.3800,153.9800,152.6300,153.0600,153.0600,26960788.00
2017-05-18,151.2700,153.3400,151.1300,152.5400,152.5400,33568215.00
2017-05-17,153.6000,154.5700,149.7100,150.2500,150.2500,50767678.00
2017-05-16,155.9400,156.0600,154.7200,155.4700,155.4700,20048478.00
2017-05-15,156.0100,156.6500,155.0500,155.7000,155.7000,26009719.00
2017-05-12,154.7000,156.4200,154.6700,156.1000,156.1000,32527017.00
2017-05-11,152.4500,154.0700,152.3100,153.9500,153.9500,27255058.00
2017-05-10,153.6300,153.9400,152.1100,153.2600,152.6354,25805692.00
2017-05-09,153.8700,154.8800,153.4500,153.9900,153.3624,39130363.00
2017-05-08,149.0300,153.7000,149.0300,153.0100,152.3864,48752413.00
2017-05-05,146.7600,148.9800,146.7600,148.9600,148.3529,27327725.00
2017-05-04,146.5200,147.1400,145.8100,146.5300,145.9328,23371872.00
2017-05-03,145.5900,147.4900,144.2700,147.0600,146.4606,45697034.00
2017-05-02,147.5400,148.0900,146.8400,147.5100,146.9088,45352194.00
2017-05-01,145.1000,147.2000,144.9600,146.5800,145.9826,33602943.00
2017-04-28,144.0900,144.3000,143.2700,143.6500,143.0645,20860358.00
2017-04-27,143.9200,144.1600,143.3100,143.7900,143.2040,14246347.00
2017-04-26,144.4700,144.6000,143.3800,143.6800,143.0944,20041241.00
2017-04-25,143.9100,144.9000,143.8700,144.5300,143.9410,18871501.00
2017-04-24,143.5000,143.9500,143.1800,143.6400,143.0546,17116599.00
2017-04-21,142.4400,142.6800,141.8500,142.2700,141.6902,17320928.00
2017-04-20,141.2200,142.9200,141.1600,142.4400,141.8595,23319562.00
2017-04-19,141.8800,142.0000,140.4500,140.6800,140.1067,17328375.00
2017-04-18,141.4100,142.0400,141.1100,141.2000,140.6245,14697544.00
2017-04-17,141.4800,141.8800,140.8700,141.8300,141.2520,16582094.00
2017-04-13,141.9100,142.3800,141.0500,141.0500,140.4751,17822880.00
2017-04-12,141.6000,142.1500,141.0100,141.8000,141.2221,20350000.00
2017-04-11,142.9400,143.3500,140.0600,141.6300,141.0528,30379376.00
2017-04-10,143.6000,143.8800,142.9000,143.1700,142.5865,18933397.00
2017-04-07,143.7300,144.1800,143.2700,143.3400,142.7558,16658543.00
2017-04-06,144.2900,144.5200,143.4500,143.6600,143.0745,21149034.00
2017-04-05,144.2200,145.4600,143.8100,144.0200,143.4330,27717854.00
2017-04-04,143.2500,144.8900,143.1700,144.7700,144.1800,19891354.00
2017-04-03,143.7100,144.1200,143.0500,143.7000,143.1143,19985714.00
2017-03-31,143.7200,144.2700,143.0100,143.6600,143.0745,19661651.00
2017-03-30,144.1900,144.5000,143.5000,143.9300,143.3434,21207252.00
2017-03-29,143.6800,144.4900,143.1900,144.1200,143.5326,29189955.00
2017-03-28,140.9100,144.0400,140.6200,143.8000,143.2139,33374805.00
2017-03-27,139.3900,141.2200,138.6200,140.8800,140.3058,23575094.00
2017-03-24,141.5000,141.7400,140.3500,140.6400,140.0668,22395563.00
2017-03-23,141.2600,141.5800,140.6100,140.9200,140.3457,20346301.00
2017-03-22,139.8500,141.6000,139.7600,141.4200,140.8436,25860165.00
2017-03-21,142.1100,142.8000,139.7300,139.8400,139.2701,39529912.00
2017-03-20,140.4000,141.5000,140.2300,141.4600,140.8835,21542038.00
2017-03-17,141.0000,141.0000,139.8900,139.9900,139.4195,43884952.00
2017-03-16,140.7200,141.0200,140.2600,140.6900,140.1166,19231998.00
2017-03-15,139.4100,140.7500,139.0300,140.4600,139.8875,25691774.00
2017-03-14,139.3000,139.6500,138.8400,138.9900,138.4235,15309065.00
2017-03-13,138.8500,139.4300,138.8200,139.2000,138.6327,17421717.00
2017-03-10,139.2500,139.3600,138.6400,139.1400,138.5729,19612801.00
2017-03-09,138.7400,138.7900,137.0500,138.6800,138.1148,22155904.00
2017-03-08,138.9500,139.8000,138.8200,139.0000,138.4335,18707236.00
2017-03-07,139.0600,139.9800,138.7900,139.5200,138.9514,17446297.00
2017-03-06,139.3700,139.7700,138.6000,139.3400,138.7721,21750044.00
2017-03-03,138.7800,139.8300,138.5900,139.7800,139.2103,21571121.00
2017-03-02,140.0000,140.2800,138.7600,138.9600,138.3937,26210984.00
2017-03-01,137.8900,140.1500,137.6000,139.7900,139.2203,36414585.00
2017-02-28,137.0800,137.4400,136.7000,136.9900,136.4317,23482860.00
2017-02-27,137.1400,137.4400,136.2800,136.9300,136.3719,20257426.00
2017-02-24,135.9100,136.6600,135.2800,136.6600,136.1030,21776585.00
2017-02-23,137.3800,137.4800,136.3000,136.5300,135.9736,20788186.00
2017-02-22,136.4300,137.1200,136.1100,137.1100,136.5512,20836932.00
2017-02-21,136.2300,136.7500,135.9800,136.7000,136.1429,24507156.00
2017-02-17,135.1000,135.8300,135.1000,135.7200,135.1669,22198197.00
2017-02-16,135.6700,135.9000,134.8400,135.3500,134.7984,22584555.00
2017-02-15,135.5200,136.2700,134.6200,135.5100,134.9577,35623100.00
2017-02-14,133.4700,135.0900,133.2500,135.0200,134.4697,33226223.00
2017-02-13,133.0800,133.8200,132.7500,133.2900,132.7468,23035421.00
2017-02-10,132.4600,132.9400,132.0500,132.1200,131.5815,20065458.00
2017-02-09,131.6500,132.4500,131.1200,132.4200,131.8803,28349859.00
2017-02-08,131.3500,132.2200,131.2200,132.0400,130.9382,23004072.00
2017-02-07,130.5400,132.0900,130.4500,131.5300,130.4325,38183841.00
2017-02-06,129.1300,130.5000,128.9000,130.2900,129.2028,26845924.00
2017-02-03,128.3100,129.1900,128.1600,129.0800,128.0029,24507301.00
2017-02-02,127.9800,129.3900,127.7800,128.5300,127.4575,33710411.00
2017-02-01,127.0300,130.4900,127.0100,128.7500,127.6757,111985040.00
2017-01-31,121.1500,121.3900,120.6200,121.3500,120.3374,49200993.00
2017-01-30,120.9300,121.6300,120.6600,121.6300,120.6151,30377503.00
2017-01-27,122.1400,122.3500,121.6000,121.9500,120.9324,20562944.00
2017-01-26,121.6700,122.4400,121.6000,121.9400,120.9225,26337576.00
2017-01-25,120.4200,122.1000,120.2800,121.8800,120.8630,32586673.00
2017-01-24,119.5500,120.1000,119.5000,119.9700,118.9690,23211038.00
2017-01-23,120.0000,120.8100,119.7700,120.0800,119.0780,22050218.00
2017-01-20,120.4500,120.4500,119.7346,120.0000,118.9987,32597892.00
2017-01-19,119.4000,120.0900,119.3700,119.7800,118.7805,25597291.00
2017-01-18,120.0000,120.5000,119.7100,119.9900,118.9888,23712961.00
2017-01-17,118.3400,120.2400,118.2200,120.0000,118.9987,34439843.00
2017-01-13,119.1100,119.6200,118.8100,119.0400,118.0467,26111948.00
2017-01-12,118.8950,119.3000,118.2100,119.2500,118.2550,27086220.00
2017-01-11,118.7400,119.9300,118.6000,119.7500,118.7508,27588593.00
2017-01-10,118.7700,119.3800,118.3000,119.1100,118.1161,24462051.00
2017-01-09,117.9500,119.4300,117.9400,118.9900,117.9971,33561948.00
2017-01-06,116.7800,118.1600,116.4700,117.9100,116.9261,31751900.00
2017-01-05,115.9200,116.8642,115.8100,116.6100,115.6370,22193587.00
2017-01-04,115.8500,116.5100,115.7500,116.0200,115.0519,21118116.00
2017-01-03,115.8000,116.3300,114.7600,116.1500,115.1808,28781865.00
